win_team,lose_team,probability
Utah Jazz,Portland Trail Blazers,0.6397924436373641
Sacramento Kings,Memphis Grizzlies,0.6700337155927539
San Antonio Spurs,Minnesota Timberwolves,0.6608653258309425
Toronto Raptors,Cleveland Cavaliers,0.6706907202995142
Golden State Warriors,Dallas Mavericks,0.8496267120226846
Houston Rockets,San Antonio Spurs,0.7954271495298832
Los Angeles Clippers,Denver Nuggets,0.6240759954296821
Milwaukee Bucks,Miami Heat,0.518018143492718
Toronto Raptors,Philadelphia 76ers,0.5029086651272052
Oklahoma City Thunder,Utah Jazz,0.568071383705439
Washington Wizards,Phoenix Suns,0.7736365396834852
Boston Celtics,Charlotte Hornets,0.8569100637459366
Phoenix Suns,Brooklyn Nets,0.5113192489543277
Cleveland Cavaliers,Chicago Bulls,0.8587216455247448
Detroit Pistons,Atlanta Hawks,0.7469707656282893
Golden State Warriors,Los Angeles Clippers,0.8825786583131167
Indiana Pacers,Washington Wizards,0.711489336718369
Los Angeles Lakers,Memphis Grizzlies,0.7216496195342025
Oklahoma City Thunder,Minnesota Timberwolves,0.5331153440017641
Miami Heat,Orlando Magic,0.6799262404225084
